"","Project-Id-Version: cinelerra 2.3\nReport-Msgid-Bugs-To: cinelerra@lists.cinelerra-cv.org\nPOT-Creation-Date: 2016-02-08 23:15-0500\nPO-Revision-Date: 2016-02-08 23:23-0500\nLast-Translator: Nicola Ferralis <feranick@hotmail.com>\nLanguage-Team: feranick@hotmail.com\nLanguage: it_IT\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n"
"Duration visible in the timeline","Durata sulla barra di esecuzione"
"Audio waveform scale","Scala forma d'onda audio"
"Height of tracks in the timeline","Picchi delle tracce sulla barra di esecuzione"
"Automation range maximum","Scala massimo automatico"
"Automation range minimum","Scala minimo automatico"
"Automation Type","Tipo d'Automazione"
"Audio Fade:","Dissolv. Audio:"
"Video Fade:","Dissolv. Video:"
"Automation range","Scalatura automatica"
"Selection start time","Seleziona inizio"
"Selection length","Seleziona lunghezza"
"Selection end time","Seleziona fine"
"cannot connect to X server.\n","Impossibile connettersi al server X.\n"
"'DISPLAY' environment variable not set.\n","Variabile d'ambiente 'DISPLAY' non impostata.\n"
"Change the filter","Cambia filtro"
"Cancel the operation","Annulla operazione"
"Submit the directory","Inserisci cartella"
"Descend directory","Cartella inferiore"
"Submit the file","Inserire file"
"Create new folder","Crea nuova cartella"
"Up a directory","Cartella superiore"
"Delete files","Cancella i file"
"Refresh","Aggiorna"
": New folder",": Nuova cartella"
": Delete",": Cancellato"
"Conversion from %s to %s is not available","Conversione da %s a %s non e’ disponibile"
"Theme::get_image: %s not found.\n","Tema::get_image: %s Non trovato.\n"
"BC_Theme::check_used: Images aren't used.\n","BC_Theme::check_used: Immagini non usate.\n"
"Odd field first","Area dispari prima"
"Even field first","Area pari prima"
"1080 to 540","1080 per 480"
"720 to 480","720 per 480"
"Lock parameters","Blocca Parametri"
"Activate processing","Attiva elaborazione"
"Compute negfix values","Calcola valori negfix"
"(uncheck for faster rendering)","(deseleziona per rendering veloce)"
"Computed negfix values:","Valori negfix calcolati:"
"Light:","Luce:"
"negfix values to apply:","valori negfix da applicare"
"AgingTV","VecchiaTV"
"Film aging from EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou","Film antico per EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou"
"Grain","Grano"
"Scratch","Graffio"
"Pits","Cavità"
"Dust","Polvere"
"In","Ingresso"
"Out","Uscita"
"Bands:","Bande:"
"Direction:","Direzione:"
"BandSlide","StiraturaBande"
"BandWipe","SchiaraBande"
"Pick","Seleziona"
"Reset","Resetta"
" Mask Selection","Seleziona Maschera"
"Color Selection","Selezione Colore"
" Mark Selected Areas","Marca Aree Selezionate"
"hue","Tonalità"
"saturation","Saturazione"
"value","Valore"
"fill","riempimento"
"red","rosso"
"green","verde"
"blue","blu"
"pre-erode","Attenua"
" Invert Selection"," Inverti Selezione"
"Color Adjustment","Aggiustamento Colore"
" Filter Active"," Filtro Attivo"
"Blur","Sfoca"
"Radius","Raggio"
"Vertical","Verticale"
"Horizontal","Orizzontale"
"Blur alpha","Sfocatura alpha"
"Blur red","Sfocatura Rosso"
"Blur green","Sfocatura verde"
"Blur blue","Sfocatura blu"
"Brightness/Contrast","Luminosità/Contrasto"
"Boost luminance only","Incrementa solo la luminosità"
"BurningTV","BruciatoTV"
"BurningTV from EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou","BruciatoTV da EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou"
"CD Ripper","Estrai CD"
"Can't open cdrom drive.","Impossibile aprire il cdrom"
"Can't get total from table of contents.","Impossibile ottenere il totale dalla tabella dei contenuti."
"Can't get table of contents entry.","Impossibile ottenere l'accesso alla tabella del contenuto."
"Can't get table of contents leadout.","Impossibile ottenere il leadout dalla tabella dei contenuti"
"Start track is out of range.","L'avvio della traccia fuori limite."
"End track is out of range.","La fine della traccia fuori limite."
"End position is out of range.","Posizione della fine fuori limite"
"Select the range to transfer:","Seleziona il range da trasferire"
"Track","Traccia"
"Sec","Seg"
"From","Da"
"To","per"
"CD Device:","Dispositivo del CD:"
"Slope:","Inclina:"
"Threshold:","Soglia:"
"Color...","Colore..."
"Use value","Usa valore"
"Use color picker","Usa cattura colore"
"Inner color","Colore interno"
"Chroma key","Chiave cromatica"
"Key parameters:","Chiave Parametri:"
"Hue Tolerance:","Tolleranza tonalità:"
"Min. Brightness:","Min. Luminosità:"
"Max. Brightness:","Max. Luminosità:"
"Saturation Offset:","Compensa Saturazione:"
"Min Saturation:","Min Saturazione:"
"Mask tweaking:","Maschera distorsione:"
"In Slope:","Salita:"
"Out Slope:","Discesa:"
"Alpha Offset:","Compensa Alpha:"
"Spill light control:","Controllo puntini luminosi"
"Spill Threshold:","Soglia Puntini:"
"Spill Compensation:","Compensazione Puntini"
"Show Mask","Mostra Maschera"
"Chroma key (HSV)","Chiave Cromatica (HSV)"
"Shadows","Ombre"
"Midtones","Toni Medi"
"Highlights","Alte Luci"
"Saturation:","Saturazione:"
"Copy to all","Copia su tutti"
"White balance","Bilanciamento Bianco"
"Color Balance","Bilanciamento Colore"
"Cyan","Ciano"
"Red","Rosso"
"Green","Verde"
"Yellow","Giallo"
"Blue","Blu"
"Preserve luminosity","Preserva luminosità"
"Color Picker","Selezionatore del colore"
"Hue","Tonalità"
"Saturation","Saturazione"
"Value","Valore"
"Compressor","Compressore"
"Reaction secs:","Reazione sec:"
"Decay secs:","Decad. sec:"
"Trigger Type:","Tipo Scatto:"
"Trigger:","Scatto:"
"Point:","Punto:"
"Input level","Livello ingresso"
"Input","Ingresso"
"Smooth only","Smussa solo"
"Crossfade","Dissolvenza"
"Input frames per second:","Fotogramma in ingresso al secondo:"
"Last frame dropped: ","Ultimo fotogramma aggiunto:"
"Decimate","Decima"
"Deinterlace","Deinterlaccia"
"Select deinterlacing mode","Metodo di deinterlaccio"
"Changed rows: %d\n","Righe modificate: %d\n"
"Keep top field","Tieni aree superiori"
"Keep bottom field","Tieni aree inferiori"
"Average top fields","Media campi superiori"
"Top field first","Prima area superiore"
"Threshold","Soglia"
"Bob Threshold","Soglia Bob"
"Adaptive","Adattativo"
"Duplicate one field","Duplica un area"
"Average one field","Media un area"
"Average both fields","Media due aree"
"Bob & Weave","Bob e Weave"
"Spatial field swap","Area scambio spazio"
"Temporal field swap","Area scambio temporale"
"Do Nothing","Non fare nulla"
"Delay audio","Ritardo audio"
"Delay seconds:","Ritardo secondi:"
"Delay Video","Ritardo Video"
"Level:","Livello:"
"Denoise power:","Intensità migliora:"
"Number of samples for reference:","Numero dei campioni da riferire:"
"The keyframe is the start of the reference","Il fotogramma chiave è l'inizio del riferimento"
"DenoiseFFT","AntidisturboFFT"
"Progressive","Progressivo"
"Fast","Veloce"
"Search radius:","Cercare raggio:"
"Pass 1 threshold:","Passo 1 soglia:"
"Pass 2 threshold:","Passo 2 soglia:"
"Sharpness:","Chiarezza:"
"Luma contrast:","Contrasto Luma:"
"Chroma contrast:","Contrasto Chroma:"
"Delay frames:","Ritardo fotogrammi:"
"Denoise video2","Antidisturbo video2"
"Selective Temporal Averaging","Media Temporale Selettiva"
"Frames to average","Media Fotogrammi"
"Use Method:","Usa Metodo:"
"None ","Niente"
"Selective Temporal Averaging: ","Media Temporale Selettiva:"
"Av. Thres.","Soglia.Av."
"S.D. Thres.","Soglia S.D."
"Average","Media"
"Standard Deviation","Scarto quadratico medio"
"First frame in average:","Primo frame nella media"
"Fixed offset: ","Compensa aggiustato:"
"Restart marker system:","Riavvia sistema marcatori:"
"Other Options:","Altre Opzioni"
"Gain:","Guadagno:"
"Reprocess frame again","Riprocessa il frame nuovamente"
"Disable subtraction","Disabilita sottrazione"
"This Frame is a start of a section","Questo frame si trova a inizio sezione"
"Frames to accumulate:","Frame da accumulare:"
"Denoise video","Antidisturbo video"
"Despike","Spuntare"
"Maximum level:","Livello massimo"
"Maximum rate of change:","Tasso massimo della modifica:"
"Use Value","Utilizza valori"
"Difference key","Chiave Differente"
"Dissolve","Dissolvenza"
"DotTV from EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou","DotTV de EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou"
"Horizontal offset","Compensazione orizzontale"
"Vertical offset","Compensazione verticale"
"Downsample","Ricampiona"
"Fields to frames","Campi per Fotogramma"
"Find Object","Trova Oggetto"
"Algorithm:","Algoritmo:"
"Search radius:\n(W/H Percent of image)","Cerca il raggio di spostamento:\n(A/L in percentuale immagine)"
"Object size:\n(W/H Percent of image)","Rotazione dei blocchi:\n(A/L percentuale immagine)"
"Block X:","Blocco X:"
"Block Y:","Blocco Y:"
"Object layer:","Uscita livello:"
"Replacement object layer:","Sostituisci il progetto corrente"
"Output/scene layer:","Uscita livello:"
"Object blend amount:","Scala in percentuale:"
"Draw border","Disegna vettori"
"Draw keypoints","Disegna cardine"
"Replace object","Sostituisci il progetto corrente"
"Draw object border","Disegna vettori"
"Don't Calculate","Non Calcolare"
"Flip","Inverti"
"Frames to fields","Fotogrammi > Settori"
"Freeze","Congela"
"Roomsize:","Dimensione Stanza:"
"Damp:","Nebbia:"
"Wet:","Bagnato:"
"Dry:","Asciutto:"
"Freeze Frame","Congela fotogramma"
"Gain","Guadagno"
"Maximum:","Massimo"
"Gamma:","Gamma: "
"Automatic","Automatico"
"Plot histogram","Disegna Istogramma"
"Use Color Picker","Usa cattura colore"
"Shape:","Forma:"
"Rate:","Tasso:"
"Inner radius:","Raggio interno"
"Outer radius:","Raggio esterno"
"Center X:","Centro X:"
"Center Y:","Centro Y:"
"Linear","Lineare"
"Radial","Radiale"
"Square","Quadrato"
"Inner color:","Colore interno:"
"Outer color:","Colore esterno"
"Outer color","Colore esterno"
"Gradient","Gradiente"
"Histogram","Istogramma"
"Input X:","Ingresso X:"
"Input Y:","Ingresso Y:"
"Output min:","Uscita min: "
"Output Max:","Uscita Max:"
"Split output","Uscita Separata"
"HolographicTV from EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou","HolographicTV de EffectTV\nCopyright (C) 2001 FUKUCHI Kentarou"
"Hue saturation","Saturazione tonalità"
"Interpolate","Interpolare"
"X Offset:","Regola X:"
"Y Offset:","Regola Y:"
"Interpolate Pixels","Interpolare Punti"
"Use keyframes as input","Utilizza fotogramma chiave come ingresso"
"Invert Audio","Invertire Audio"
"Invert R","Invertire R"
"Invert G","Invertire G"
"Invert B","Invertire B"
"Invert A","Invertire A"
"Invert Video","Invertire Video"
"IrisSquare","IrisQuadrato"
"Inverse Telecine","Telecinema Inverso"
"Pattern offset:","Regola modello:"
"Pattern:","Modello:"
"Automatic IVTC","IVTC Automatico"
"Sphere Stretch","Stiramento Sferico"
"Sphere Shrink","Compressione Sferica"
"Rectilinear Stretch","Stiramento Rettangolare"
"Rectilinear Shrink","Compressione Rettangolare"
"Stretch","Stira"
"R Field of View:","Compensa aggiustato:"
"G Field of View:","Compensa aggiustato:"
"B Field of View:","Compensa aggiustato:"
"A Field of View:","Compensa aggiustato:"
"Lock","Bloccato"
"Aspect Ratio:","Dimensione:"
"Radius:","Raggio:"
"Draw center","Disegna vettori"
"Lens","Lente"
"Duration (seconds):","Durata (secondi):"
"Max soundlevel (dB):","Livello massimo del suono (dB):"
"RMS soundlevel (dB):","Livello del suono RMS (dB):"
"SoundLevel","Livello sonoro"
"Length:","Compressione:"
"Steps:","Passi:"
"Linear Blur","Sfocatura Lineare"
"Live Audio","Invertire Audio"
"Live Video","Video dal vivo"
"Samples to loop:","Campioni da ripetere:"
"Loop audio","Ripetizione audio"
"Frames to loop:","Fotogrammi da ripetere:"
"Loop video","Ripeti video"
"Motion Blur","Sfocatura di Movimento"
"Motion","Movimento"
"Translation search radius:\n(W/H Percent of image)","Cerca il raggio di spostamento:\n(A/L in percentuale immagine)"
"Rotation search radius:\n(Degrees)","Cerca il raggio di rotazione:\n(Decremento)"
"Translation block size:\n(W/H Percent of image)","Dimensione dei blocchi spostare:\n(percentuale dell'immagine)"
"Rotation block size:\n(W/H Percent of image)","Rotazione dei blocchi:\n(A/L percentuale immagine)"
"Translation search steps:","Passi ricerca spostamento:"
"Rotation search steps:","Passi ricerca rotazione:"
"Translation direction:","Direzione spostamento:"
"Maximum absolute offset:","Compensa massimo assoluto:"
"Settling speed:","Regola velocità:"
"Frame number:","Numero frame:"
"Master layer:","Livello Principale:"
"Action:","Azione:"
"Calculation:","Calcolo:"
"Add (loaded) offset from tracked frame","Aggiungi offset (salvato) da fotogramma "
"Track translation","Traccia spostamento"
"Track rotation","Traccia rotazione"
"Draw vectors","Disegna vettori"
"Track single frame","Traccia singolo fotogramma"
"Track previous frame","Traccia fotogramma precedente"
"Previous frame same block","Stesso blocco per il frame precedente"
"Top","Superiore"
"Bottom","Inferiore"
"Track Subpixel","Traccia Sottopunti"
"Track Pixel","Traccia Punti"
"Stabilize Subpixel","Stabilizza Sottopunti"
"Stabilize Pixel","Stabilizza Punti"
"Recalculate","Ricalcola"
"Save coords to /tmp","Salva coordinate su /tmp"
"Load coords from /tmp","Carica coordinate da /tmp"
"Horizontal only","Solo Orizzontale"
"Vertical only","Solo Verticale"
"Both","Entrambi"
"Normalize","Normalizzare"
"Enter the DB to overload by:","Inserisci il DB per informazioni scaricate da:"
"Treat tracks independantly","Considera Tracce indipendentemente"
"Use intensity","Usa intensità"
"Oil painting","Pittura ad olio"
"Overlay","Sovarpposizione"
"Bottom first","Prima Sotto"
"Top first","Prima sopra"
"Layer order:","Ordine livello:"
"Output layer:","Uscita livello:"
"Lowpass","Passa basso"
"Highpass","Passa alto"
"Bandpass","Passa banda"
"Level","Livello"
"Wetness:","Umidità:"
"EQ Parametric","EQ Parametrica"
"Current X:","X attuale:"
"Perspective","Prospettiva"
"Sheer","Sottile"
"Perspective direction:","Direzione prospettiva"
"Forward","Avanti"
"Reverse","Indietro"
"Pitch shift","Sposta tono"
"Depth:","Profondità:"
"Polar","Polarità"
"Radial Blur","Sfocatura Radiale"
"Reframe","Riforma"
"Scale factor:","Fattore di Scala:"
"Scale by amount:","Scala in percentuale:"
"ReframeRT","RiformaRT"
"replace Target","rimpiazza Obiettivo"
"Components only","solo i componenti"
"Alpha replace","rimpiazza Alpha"
"Target track:","Tracce condivise:"
"Operation:","Operazione:"
"Reroute","Ridireziona"
"Resample","Ricampiona"
"Heroine College Concert Hall","Auditorium Università Heroine"
"Couldn't save %s.","Impossibile Salvare %s."
"Initial signal level:","Livello iniziale del segnale:"
"ms before reflections:","ms prima della riflessione:"
"First reflection level:","Primo livello di riflessione:"
"Last reflection level:","Ultimo livello di riflessione:"
"Number of reflections:","Numero di riflessioni:"
"ms of reflections:","ms di riflessione:"
"Start band for lowpass:","Inizio banda passa-basso:"
"End band for lowpass:","Fine banda passa-basso:"
"Load...","Carica..."
"Save...","Salva..."
"Set default","Impostare predefinita"
"Save reverb","Salva riverbero"
"Select the reverb file to save as","Selezionare file del riverbero da salvare come"
"Load reverb","Carica riverbero"
"Select the reverb file to load from","Selezionare file del riverbero da caricare"
"Reverse audio","Audio Inverso"
"Reverse video","Video Inverso"
"RGB -> 601 compression","RGB -> 601 compresso"
"601 -> RGB expansion","601 -> RGB espanso"
"Draw pivot","Disegna cardine"
"Rotate","Rotazione"
"Degrees","Gradi"
"Pivot (x,y):","Centro (x,y):"
"Scale","Scala"
"X Scale:","Scala X:"
"Y Scale:","Scala Y:"
"Constrain ratio","Percentuale vincolo"
"White to Black","Bianco > Nero"
"Black to White","Nero > bianco"
"Preserve shape aspect ratio","Preserva l'aspetto della figura"
"Browse...","Scegli..."
"Choose Shape","Scegli figura"
"Choose a Wipe Shape","Scegli una figura vuota"
"Shape Wipe","Figura Vuota"
"Sharpen","Nitidezza"
"Sharpness","Nitidezza"
"Interlace","Interlaccio"
"Luminance only","Solo luminosità"
"Odd offset:","Compensa dispari:"
"Even offset:","Compensa pari:"
"ShiftInterlace","SpostaInterlaccio"
"Left","Sinistra"
"Right","Destra"
"Slide","Diapositiva"
"Spectrogram","Spettrogramma"
"SVG via Inkscape","SVG tramite Inkscape"
"Running command %s\n","Eseguo il comando %s\n"
"Export of %s to %s failed\n","Esportazione di %s per %s fallita\n"
"The file %s that was generated from %s is not in RAWC format. Try to delete all *.raw files.\n","Il file %s che è stato generato da %s non è in formato RAWC. Prova a cancellare tutti i file *.raw.\n"
"Unsupported version of RAWC file %s. This means your Inkscape uses newer RAWC format than Cinelerra. Please upgrade Cinelerra.\n","Versione del file RAWC %s Non supportata. Questo significa che Inkscape usa una versione più recente del formato RAWC. Prova ad aggiornare Cinelerra.\n"
"Out X:","Fuori X:"
"Out Y:","Fuori Y:"
"New/Open SVG...","Nuova/Aprire SVG..."
"Inkscape has exited\n","Inkscape si è chiuso\n"
"Plugin window has closed\n","La finestra plugin è stata chiusa\n"
"Running external SVG editor: %s\n","Eseguo editor SVG esterno: %s\n"
"External SVG editor finished\n","Editor SVG esterno ha finito\n"
"SVG Plugin: Pick SVG file","Plugin SVG: Scegli un file SVG"
"Open an existing SVG file or create a new one","Aprire un file SVG esistente o crearne uno nuovo"
"Swap channels","Rimpiazza canali"
"-> Red","-> Rosso"
"-> Green","-> Verde"
"-> Blue","-> Blu"
"Synthesizer","Sintetizzatore"
"Phase","Fase"
"Harmonic","Armonica"
"Waveform","Forma d'onda"
"Wave Function","Funzione d'onda:"
"Base Frequency:","Frequenza Base:"
"Sine","Seno"
"Triangle","Triangolo"
"Pulse","Pulsa"
"Noise","Disturbo"
"Add","Aggiungi"
"Maximum","Massimo"
"Slope","Discesa"
"Random","Casuale"
"Invert","Invertire"
"Enumerate","Numera"
"Even","Pari"
"Odd","Dispari"
"Prime","Prima"
"Low Color","Basso Colore:"
"Mid Color","Medio Colore:"
"High Color","Alto Colore:"
"Low color","Basso colore"
"Mid color","Medio colore"
"High color","Alto colore"
"Time Average","Tempo Medio"
"Accumulate","Accumula"
"Inclusive Or","Or Inclusivo"
"Type:","Testo:"
"Time range:","Intervallo tempo :"
"As timefront use:","Come cronofronte usa:"
"Other track as timefront","Altra traccia come cronofronte"
"Alpha as timefront","Alpha come cronofronte"
"Intensity","Intensità"
"Alpha mask","Maschera Alpha"
"Inversion","Inversione"
"Show grayscale (for tuning","Mostra scala grigi (per raffinare)"
"TimeFront","CronoFronte"
"Time stretch","Allunga tempo"
"hello world","ciao mondo"
"GlyphUnit::process_package FT_Load_Char failed - char: %li.\n","GlyphUnit::process_package FT_Load_Char failed - char: %i.\n"
"No motion","Senza movimento"
"Bottom to top","Dal basso in alto"
"Top to bottom","Dall'alto in basso"
"Right to left","Da destra a sinistra"
"Left to right","Da sinistra a destra"
"Font:","Carattere:"
"Style:","Stile:"
"Justify:","Giustifica:"
"Motion type:","Tipo di movimento:"
"Drop shadow:","Sposta ombra:"
"Fade in (sec):","Sfuma in (sec):"
"Fade out (sec):","Sfuma Usc. (sec):"
"Speed:","Velocità:"
"Text:","Testo:"
"Outline width:","Dimensione Outline:"
"Bold","Grassetto"
"Italic","Italico"
"Outline","Profilo"
"Outline color...","Colore Profili..."
"Loop","Cicla"
"Stamp timecode","Stampa codice orario"
"Center","Centralizzato"
"Mid","Med"
"Translate","Covertire"
"In X:","Ingresso X:"
"In Y:","Ingresso Y:"
"In W:","Ingresso W:"
"In H:","Ingresso H:"
"Out W:","Fuori W:"
"Out H:","Fuori H:"
"Unsharp","Attenua Contorni"
"Amount:","Ammontare:"
"Inverse","Inverso"
"VideoScope","CampoVideo"
"Smear","Sfuma"
"Blacken","Oscura"
"Reflective","Riflessiva"
"Amplitude:","Ampiezza:"
"Phase:","Fase:"
"Wavelength:","Lunghezza d'onda:"
"Wave","Onda"
"Pinch","Pizzica"
"Angle","Angolo"
"Whirl","Vortice"
"Wipe","Cancella"
"Zoom Blur","Sfocatura Zoom"
